datetime,fr_pr,uc_pr,hm_pr,fruchm_avg_pr
18/01/2007,0.4,0.2,0.2,0.3
19/01/2007,0,0,0,0
20/01/2007,0.3,0.2,0.2,0.2
21/01/2007,0.6,0.3,0.3,0.4
22/01/2007,0,0,0,0
23/01/2007,0,0,0.1,0
24/01/2007,0,0,0.1,0
25/01/2007,0.2,0.1,0.4,0.2
26/01/2007,0.2,0.1,0.7,0.3
27/01/2007,0,0,0.5,0.2
28/01/2007,0,0,0.8,0.3
29/01/2007,0.2,0.1,0.5,0.3
30/01/2007,0.1,0.1,0.1,0.1
31/01/2007,2,1.2,2.3,1.8
01/02/2007,5.6,2.8,3.9,4.1
02/02/2007,0.1,0.1,0,0.1
03/02/2007,0,0,0,0
04/02/2007,0,0,0,0
05/02/2007,0,0,0,0
06/02/2007,0.5,0.3,0,0.3
07/02/2007,0.6,0.4,0.3,0.4
08/02/2007,2.9,1.9,2.6,2.5
09/02/2007,1.2,0.8,0.9,1
10/02/2007,0,0,0,0
11/02/2007,3.8,2.5,2.5,2.9
12/02/2007,2.1,1.4,1.6,1.7
13/02/2007,3.7,2.4,1.7,2.6
14/02/2007,0,0,0,0
15/02/2007,2.8,1.5,0.2,1.5
16/02/2007,0.5,0.1,0.1,0.2
17/02/2007,0,0,0,0
18/02/2007,12.9,7.4,5.3,8.5
19/02/2007,1.2,0.5,0,0.6
20/02/2007,20.5,12.5,6.1,13
21/02/2007,0.2,0.1,0,0.1
22/02/2007,4.2,2.8,1.6,2.9
23/02/2007,0,0,0,0
24/02/2007,0,0,0,0
25/02/2007,1.1,0.7,0.2,0.7
26/02/2007,0.3,0.2,0.3,0.3
27/02/2007,0.2,0.1,0,0.1
28/02/2007,0.1,0.1,0,0.1
01/03/2007,0,0,0,0
02/03/2007,0,0,0,0
03/03/2007,0.5,0.2,0,0.2
04/03/2007,0,0,0,0
05/03/2007,0,0,0,0
06/03/2007,0,0,0,0
07/03/2007,0.3,0.1,0,0.1
08/03/2007,7.8,4.2,3.6,5.2
09/03/2007,0.2,0.1,0,0.1
10/03/2007,0.6,0.1,0,0.2
11/03/2007,6.2,2.9,3.1,4.1
